iter	Passed	Remaining
0	951	950360
1	1762	879680
2	2582	858355
3	3403	847454
4	4241	844135
5	5101	845087
6	5946	843504
7	6806	844019
8	7648	842200
9	8469	838509
10	9252	831916
11	10099	831520
12	10914	828683
13	11731	826225
14	12590	826773
15	13437	826421
16	14282	825860
17	15134	825660
18	15962	824157
19	16833	824865
20	17668	823671
21	18516	823157
22	19374	822984
23	20173	820381
24	20965	817659
25	21805	816882
26	22594	814243
27	23424	813153
28	24301	813681
29	25117	812130
30	25952	811216
31	26791	810451
32	27628	809609
33	28468	808847
34	29286	807478
35	30166	807790
36	31041	807915
37	31883	807160
38	32683	805357
39	33510	804245
40	34313	802595
41	35125	801192
42	35984	800875
43	36783	799205
44	37651	799053
45	38467	797792
46	39408	799075
47	40256	798429
48	41065	797007
49	41945	796962
50	42756	795607
51	43492	792906
52	44286	791314
53	45138	790751
54	45962	789719
55	46781	788595
56	47573	787054
57	48372	785641
58	49172	784265
59	50034	783879
60	50827	782405
61	51636	781207
62	52474	780448
63	53230	778500
64	54024	777127
65	54872	776522
66	55731	776079
67	56579	775470
68	57371	774102
69	58183	773014
70	58962	771489
71	59776	770452
72	60650	770180
73	61449	768950
74	62295	768309
75	63064	766730
76	63854	765423
77	64636	764033
78	65438	762891
79	66222	761554
80	67030	760508
81	67875	759874
82	68705	759071
83	69463	757484
84	70236	756076
85	71020	754797
86	71765	753128
87	72518	751560
88	73275	750047
89	74131	749550
90	74913	748316
91	75715	747283
92	76468	745775
93	77241	744478
94	78044	743478
95	78944	743395
96	79740	742323
97	80552	741413
98	81339	740273
99	82211	739906
100	83037	739112
101	83762	737438
102	84520	736070
103	85310	734986
104	86117	734052
105	86871	732671
106	87719	732092
107	88526	731166
108	89340	730293
109	90149	729390
110	90946	728388
111	91765	727568
112	92592	726812
113	93335	725393
114	94092	724101
115	94907	723262
116	95703	722272
117	96517	721428
118	97348	720706
119	98144	719728
120	98987	719094
121	99738	717790
122	100487	716484
123	101280	715495
124	102046	714326
125	102886	713671
126	103660	712561
127	104454	711594
128	105237	710558
129	106000	709385
130	106779	708331
131	107565	707323
132	108387	706553
133	109167	705512
134	109966	704599
135	110725	703431
136	111467	702165
137	112286	701385
138	113095	700543
139	113896	699650
140	114706	698812
141	115445	697549
142	116276	696848
143	117018	695607
144	117834	694820
145	118684	694225
146	119447	693122
147	120228	692124
148	121061	691433
149	121887	690696
150	122709	689933
151	123494	688969
152	124284	688029
153	125078	687120
154	125870	686197
155	126650	685212
156	127457	684371
157	128223	683318
158	129064	682663
159	129796	681430
160	130521	680170
161	131307	679232
162	132123	678451
